location,condition,Listed_date,Listed_time,drive,fuel,lat,long,odometer,paint color,price,size,title status,transmission,type,year make model,cylinders,year,make,re_model,MODELS
dallas,,01-06-2022,17;56,,gas,35.219501,-97.479711,131148,,5988,compact,clean,automatic,sedan,2014 FORD FOCUS,,2014,Ford,FORD FOCUS,FOCUS
dallas,,01-06-2022,17;55,,gas,33.1555,-96.4981,128727,,5400,,rebuilt,automatic,,2011 honda civic,,2011,honda,honda civic,civic
dallas,excellent,01-06-2022,17;53,4wd,diesel,38.5128,-90.6306,136282,,33800,,clean,automatic,,1998 Dodge Ram,,1998,Dodge,Dodge Ram,Ram
dallas,good,01-06-2022,17;51,4wd,gas,33.2117,-97.0612,247000,custom,4900,mid-size,clean,automatic,SUV,2005 Honda pilot,6,2005,Honda,Honda pilot,pilot
dallas,,01-06-2022,17;51,fwd,gas,35.219501,-97.479711,43199,red,19988,,clean,automatic,coupe,2016 NISSAN 370Z,,2016,NISSAN,NISSAN 370Z,370Z
dallas,,01-06-2022,17;50,,gas,33.1555,-96.4981,70393,,8900,,rebuilt,automatic,,2014 nissan maxima,,2014,nissan,nissan maxima,maxima
dallas,excellent,01-06-2022,17;49,4wd,gas,32.93219,-96.745896,153609,grey,11995,mid-size,clean,manual,sedan,2013 audi a4 1.8t quattro,4,2013,audi,audi a4 1.8t quattro,a4 1.8t quattro
dallas,,01-06-2022,17;46,4wd,gas,35.219501,-97.479711,134446,black,21988,,clean,automatic,other,2015 FORD F-150,,2015,Ford,FORD F-150,F-150
dallas,excellent,01-06-2022,17;44,rwd,gas,32.7821,-96.796,125000,black,7950,full-size,clean,automatic,truck,2008 ford f-150 extended cab,8,2008,Ford,ford f-150 extended cab,f-150 extended cab
dallas,,01-06-2022,17;41,fwd,gas,35.219501,-97.479711,119468,,19988,,clean,automatic,SUV,2018 FORD FLEX,,2018,Ford,FORD FLEX,FLEX
dallas,,01-06-2022,17;37,fwd,gas,35.219501,-97.479711,88357,,15988,,clean,automatic,SUV,2017 NISSAN ROGUE,,2017,NISSAN,NISSAN ROGUE,ROGUE
dallas,,01-06-2022,17;35,,gas,32.966,-96.7452,24,,85000,,salvage,automatic,,1974 ford bronco,,1974,Ford,ford bronco,bronco
dallas,excellent,01-06-2022,17;35,rwd,diesel,30.092,-96.0716,262864,white,7400,full-size,clean,automatic,van,2006 ford e350 super duty cargo van,8,2006,Ford,ford e350 super duty cargo van,e350 super duty cargo van
dallas,,01-06-2022,17;35,,gas,32.5773,-97.1416,3500,,37000,,clean,automatic,,1967 chevrolet c10,,1967,chevrolet,chevrolet c10,c10
dallas,excellent,01-06-2022,17;32,rwd,gas,32.9522,-96.6654,49500,,56000,,clean,automatic,,2017 bmw m3 sedan,6,2017,bmw,bmw m3 sedan,m3 sedan
